שם,מדינה,קישור,תחום,תיאור
UFO Studio,הממלכה המאוחדת,https://www.ufo.studio/,"motion design, בניית אתרים, מיתוג, עיצוב גרפי","סטודיו יצירתי הממוקם בלונדון, הפועל כקולקטיב גמיש של מעצבים, אנימטורים ואנשי קריאייטיב. הסטודיו מתמחה ביצירת שפות ויזואליות שלמות, החל מאסטרטגיה ומיתוג ועד לעיצוב אתרים ו-Motion Graphics. העבודות שלהם מתאפיינות בקו נקי, מודרני ולעיתים נועז, עם דגש חזק על טיפוגרפיה ודימויים ויזואליים חזקים."
LineTo,שוויץ,https://lineto.com/,"טיפוגרפיה, פונטים, שוויץ","סטודיו אגדי (הידוע גם כ-LL) הנחשב לאחד המשפיעים ביותר בטיפוגרפיה המודרנית. Lineto מזוהה עם הסגנון השוויצרי החדש ומציע פונטים אייקוניים כמו Circular, Brown ו-Akkurat שהפכו לסטנדרט במיתוג של חברות ענק (כמו Airbnb ו-Spotify בעבר). האתר עצמו הוא כלי עבודה המאפשר בדיקה מעמיקה של הפונטים, ומייצג אסתטיקה נקייה, פונקציונלית ויוקרתית."
Ohno Type Co,"ארה""ב",https://ohnotype.co/,"טיפוגרפיה, פונטים","הסטודיו של המעצב ג'יימס אדמונדסון (James Edmondson), הנחשב לאחד הקולות המרעננים והמשפיעים בטיפוגרפיה העכשווית. Ohno ידועים בפונטים אקספרסיביים, נועזים ולעיתים הומוריסטיים (כמו Cheee, Swear ו-Obviously), ששברו את הרצינות המעונבת של עולם הפונטים המסורתי. האתר כולל גם בלוג מצוין ופודקאסט (Ohno Radio) והוא משאב חובה לכל חובב אותיות."
Frosty Type,הממלכה המאוחדת,https://www.frostype.xyz/,"טיפוגרפיה, פונטים","סטודיו לעיצוב פונטים (שהוקם על ידי המעצב Frosty) המציע גופנים בעלי אופי מודרני, ניסיוני וייחודי. הקטלוג מתמקד בטיפוגרפיית תצוגה (Display) עם נוכחות חזקה, צורות גיאומטריות נועזות ועיצובים שנועדו לבלוט במיתוג ובעיצוב דיגיטלי. הפונטים משדרים וייב עתידני וטכנולוגי."
Trevor Paglen Studio,"ארה""ב/גרמניה",https://paglen.studio/,"בינה מלאכותית, טכנולוגיה, מחקר, מעקב, קונספטואלי","האתר הרשמי של האמן והגיאוגרף טרבור פגלן (Trevor Paglen). עבודותיו עוסקות בחשיפת ה""תשתיות הבלתי נראות"" של העולם הטכנולוגי והפוליטי: מעקב המונים, בינה מלאכותית, לווייני ריגול והמיקום הפיזי של האינטרנט (כמו כבלים תת-ימיים). האתר מציג פרויקטים המשלבים צילום אסתטי, פיסול ומחקר עיתונאי מעמיק, והוא מהווה רפרנס חשוב לאמנות ביקורתית (Critical Design) בעידן האלגוריתמים."
MSCHF,"ארה""ב",https://mschf.com/,"אופנה, ויראלי, סאטירה, עיצוב מוצר, קונספטואלי, תרבות עכשווית","קולקטיב יצירתי מברוקלין שפועל במתכונת של ""דרופים"" (השקות) דו-שבועיים. MSCHF מייצרים מגוון אקלקטי של אובייקטים, אפליקציות וחוויות דיגיטליות – מנעלי סניקרס שנויות במחלוקת (כמו ""נעלי השטן"" או ""המגפיים האדומים"") ועד כלי רשת אבסורדיים. העבודות שלהם מותחות ביקורת סאטירית על תרבות הצריכה, עולם האופנה וההייפ (Hype), ונועדו בראש ובראשונה ליצור שיח ויראלי ולשבור מוסכמות."
Re-Levant רה-לבנט,ישראל,https://re-levant.co.il/,"אסטרטגיה, מיתוג, עיצוב גרפי","סטודיו ותיק בתל אביב המתמחה במיתוג ועיצוב זהות חזותית, ידוע בעבודות טיפוגרפיות חזקות ובעיצוב עבור מוסדות תרבות ועסקים."
Open,ישראל,https://www.open.co.il/,"אסטרטגיה, מיתוג, פרסום, תאגידים","אחת מחברות המיתוג הגדולות והמוכרות בארץ. עוסקת באסטרטגיה ומיתוג לתאגידים גדולים, מותגי צריכה וסטארטאפים."
Firma,ישראל,https://firmabrands.com/,"מיתוג, עיצוב מוצר","סטודיו למיתוג ואסטרטגיה עם גישה גלובלית, עובד עם חברות טכנולוגיה ומוצרים בינלאומיים ליצירת שפה תקשורתית ייחודית."
Studio Dov Abramson,ישראל,https://www.studiodov.com/,"איור, דפוס, זהות יהודית, מיתוג","סטודיו ייחודי בירושלים המשלב עיצוב עכשווי עם תרבות יהודית וישראלית. מתמחה בעיצוב ספרים, אמנות וחללים ציבוריים."
Gilli Kuchik & Ran Amitai,ישראל,https://www.kuchikamitai.com/,"עיצוב מוצר, עיצוב תעשייתי","סטודיו לעיצוב תעשייתי שזכה בפרסים בינלאומיים. עוסקים בעיצוב ריהוט, מוצרים וחללים עם דגש על חדשנות טכנולוגית ואסתטית."
Moburst,"ישראל/ארה""ב",https://www.moburst.com/,"ux/ui, מובייל, שיווק דיגיטלי",סוכנות דיגיטל מובילה המתמחה בשיווק מובייל ועיצוב מוצר דיגיטלי (UI/UX) לאפליקציות ומותגים גלובליים.
Awesome TLV,ישראל,https://beawesome.co.il/,"מיתוג, סושיאל, קריאייטיב","סטודיו בוטיק קריאייטיבי המתמחה במיתוג ובעולמות הדיגיטל, ידוע בשפה צבעונית, צעירה ובועטת."
Pentagram,"הממלכה המאוחדת/ארה""ב",https://www.pentagram.com/,"motion design, אסטרטגיה, בניית אתרים, מיתוג, עיצוב גרפי, תאגידים","הסטודיו לעיצוב העצמאי הגדול והמפורסם בעולם. פועל במבנה של שותפים ומטפל במותגי העל הגדולים ביותר (כמו MasterCard, Slack)."
IDEO,"ארה""ב",https://www.ideo.com/,"חדשנות, חשיבה עיצובית, עיצוב מוצר","חברת עיצוב וחדשנות גלובלית הנחשבת לחלוצה בשיטת ה-""Design Thinking"". מתמקדת בפתרון בעיות מורכבות דרך עיצוב."
Landor,"ארה""ב",https://landor.com/,"אסטרטגיה, מיתוג","ענקית מיתוג בינלאומית המתמחה בבניית מותגים אסטרטגיים וטרנספורמציה עסקית לחברות ענק (כמו FedEx, Nike)."
Wolff Olins,הממלכה המאוחדת,https://www.wolffolins.com/,"אסטרטגיה, דיגיטל, מיתוג",סוכנות מיתוג לונדונית/ניו-יורקית הידועה בעיצובים נועזים ושוברי מוסכמות (כמו המיתוג של אולימפיאדת לונדון 2012 ו-Uber).
Frog Design,"ארה""ב",https://www.frogdesign.com/,"ux/ui, אסטרטגיה",חברה המתמחה בעיצוב חוויית משתמש (UX) ועיצוב מוצר. ידועה בעבודה ההיסטורית שלה עם אפל ובעיצוב מוצרים טכנולוגיים.
Sagmeister & Walsh,"ארה""ב",https://andwalsh.com/,"אופנה, עיצוב גרפי","(כיום מפוצלים ל-&Walsh) סטודיו ניו-יורקי אייקוני הידוע בסגנון פרובוקטיבי, צבעוני ונועז מאוד בעולמות האופנה והלייף-סטייל."
Oded Ezer Typography,ישראל,https://www.odedezer.com/,"אקספרימנטלי, טיפוגרפיה","(עודד עזר) לא סתם מעצב, אלא אמן טיפוגרפיה בינלאומי. חוקר את גבולות האות העברית והלטינית, לעיתים דרך מניפולציות ביולוגיות ומדע בדיוני (""Bio-Typography"")."
Broken Fingaz,ישראל,https://brokenfingaz.com,"אומנות רחוב, איור, פסיכדלי, תרבות שוליים","קולקטיב חיפאי (במקור) שהפך לשם דבר עולמי. הסגנון שלהם ייחודי ומערבב גרפיטי, אנימציית סטופ-מושן פסיכדלית ואיור ידני (""Psychedelic Pop""). עובדים עם להקות כמו U2 ו-Blink-182."
Yotam Hadar,"ישראל/ארה""ב",https://yotamhadar.com,"מיתוג, קונספטואלי","מעצב המתמקד בעיצוב מונחה-מחקר (Research-driven). העבודות שלו לרוב אינטלקטואליות, עמוקות ומתעסקות במערכות מורכבות של טקסט ודימוי. מלמד ב-Yale ובבצלאל."
Grotesca,ישראל,https://grotesca-design.com/,"בניית אתרים, דפוס, מיתוג, עיצוב גרפי","קולקטיב מעצבים עצמאיים שעובדים יחד. המודל שלהם מעניין כי הוא מאפשר חופש יצירתי של פרילאנסר עם כוח של סטודיו. עבודות מאוד ""נקיות"" ומדויקות טיפוגרפית."
Mushon Zer-Aviv,ישראל,https://mushon.com,"דאטה, עתיד, פוליטיקה","(סטודיו שועל) דמות מפתח בעיצוב מידע ואקטיביזם דיגיטלי בישראל. עוסק במיפוי מידע, קוד פתוח והקשר בין עיצוב לפוליטיקה."
DIA Studio,"ארה""ב/צרפת",https://dia.tv,"motion design, אומנות דיגיטלית, קוד","החלוצים של ""Kinetic Identity"". הם משתמשים בקוד וכלים גנרטיביים כדי ליצור מיתוג שלא ""זז"" סתם, אלא מגיב לדאטה ולסאונד בזמן אמת."
Universal Everything,הממלכה המאוחדת,https://universaleverything.com,"motion design, ux/ui, אומנות דיגיטלית","סטודיו שהוא יותר כמו מעבדת אמנות דיגיטלית. יוצרים מיצגי וידאו ענקיים, דמויות שזזות מכוח אלגוריתמים וחוויות אינטראקטיביות במוזיאונים."
