,,,,,,
,שם (Name),תיאור,תחום עיסוק,תקופה,סגנון / זרם,קישור לעבודות
,יוזף מולר-ברוקמן (Josef Müller-Brockmann),"מעצב שוויצרי בולט שפיתח ושכלל את השימוש ברשת (Grid) בעיצוב הגרפי. עבודתו מתאפיינת באובייקטיביות, טיפוגרפיה חסרת תגים (Sans-serif) וקומפוזיציות אסימטריות מוקפדות.","עיצוב גרפי, טיפוגרפיה",שנות ה-50 עד ה-90,הסגנון הבינלאומי (Swiss Style),Pinterest
,פול ראנד (Paul Rand),"מעצב אמריקאי שהוביל את תחום המיתוג התאגידי במאה ה-20. עיצב לוגואים מוכרים כגון IBM, ABC ו-UPS, תוך שימוש בשפה חזותית המשלבת פשטות צורנית עם שנינות.","מיתוג, עיצוב גרפי",שנות ה-30 עד ה-90,מודרניזם אמריקאי,Paul Rand Archive
,סול באס (Saul Bass),"מעצב גרפי וקולנוען שחולל תמורה בתחום כרזות הקולנוע וכותרות הפתיחה (Title Sequences). יצר שפה חזותית מינימליסטית וסימבולית עבור סרטים של היצ'קוק, סקורסזה ואחרים.","עיצוב כרזות, מושן, מיתוג",שנות ה-40 עד ה-90,"מודרניזם, אקספרסיוניזם",Saul Bass on Art of the Title
,מילטון גלייזר (Milton Glaser),"מאייר ומעצב גרפי פורה, יוצר הלוגו ""I Love NY"" וכרזת הדיוקן של בוב דילן. סגנונו אקלקטי ומשלב איור, טיפוגרפיה וצבעוניות עשירה המושפעת מתרבות הפופ.","איור, עיצוב גרפי",שנות ה-60 עד ה-2000,"פוסט-מודרניזם, פסיכדליה",Milton Glaser Inc
,פאולה שר (Paula Scher),"שותפה בכירה בסטודיו פנטגרם (Pentagram). מתמחה בשימוש בטיפוגרפיה כדימוי ויזואלי מרכזי ובעיצוב זהויות מוסדיות, כדוגמת התיאטרון הציבורי של ניו יורק (The Public Theater).","מיתוג, טיפוגרפיה סביבתית",שנות ה-70 עד היום,"פוסט-מודרניזם, אקספרסיבי",Pentagram Profile
,סטפן סגמייסטר (Stefan Sagmeister),"מעצב גרפי הידוע בגישתו הניסיונית והפרובוקטיבית. עבודותיו משלבות לרוב את הגוף האנושי ובוחנות מושגים כמו אושר ויופי, לצד עיצוב עטיפות אלבומים למוזיקאים מובילים.","עיצוב גרפי, ארט דיירקשן",שנות ה-90 עד היום,"קונספטואלי, אקספרימנטלי",Sagmeister & Walsh
,דייוויד קרסון (David Carson),"מעצב גרפי וטיפוגרף שאתגר את מוסכמות הקריאות והסדר בשנות ה-90. עבודתו במגזין Ray Gun מאופיינת בטיפוגרפיה שבורה, שימוש בטקסטורות וקומפוזיציות אינטואיטיביות.","עיצוב מגזינים, טיפוגרפיה",שנות ה-90 עד היום,"גראנג׳ (Grunge), דקונסטרוקטיביזם",David Carson Design
,מאסימו ויניילי (Massimo Vignelli),מעצב רב-תחומי שדגל באסתטיקה מודרניסטית קפדנית ובשימוש בגריד. בין עבודותיו הבולטות: מפת הרכבת התחתית של ניו יורק וזהות חברת אמריקן איירליינס.,"עיצוב גרפי, תעשייתי, רהיטים",שנות ה-60 עד 2010,מודרניזם קלאסי,Vignelli Center
,הרב לובלין (Herb Lubalin),מעצב וטיפוגרף שהתמחה בטיפוגרפיה אקספרסיבית. ידוע בשימוש בחיבורי אותיות (Ligatures) ייחודיים ובעיצוב הלוגו והמגזין Avant Garde.,"טיפוגרפיה, עיצוב מגזינים",שנות ה-50 עד ה-80,טיפוגרפיה אקספרסיבית,Lubalin 100
,יאן צ'יכולד (Jan Tschichold),"טיפוגרף תיאורטיקן שניסח את עקרונות ""הטיפוגרפיה החדשה"" ולאחר מכן חזר לסגנון קלאסי יותר. עיצב את הזהות הטיפוגרפית של הוצאת הספרים פינגווין.","טיפוגרפיה, עיצוב ספרים",שנות ה-20 עד ה-70,"המודרניזם המוקדם, קלאסי",MOMA Collection
,נוויל ברודי (Neville Brody),"מעצב גרפי וטיפוגרף בריטי שהשפיע רבות על עיצוב המגזינים בשנות ה-80, בעיקר דרך עבודתו במגזין The Face. יצר שפה חזותית המושפעת מתרבות הפאנק והגל החדש.","עיצוב מגזינים, טיפוגרפיה",שנות ה-80 עד היום,"פאנק, ניו-ווייב",Brody Associates
,אפריל גרימן (April Greiman),"מעצבת גרפית מחלוצות השימוש במחשב ככלי יצירה. עבודותיה משלבות טכנולוגיה דיגיטלית, ריבוד שכבות וקולאז'ים היברידיים המאתגרים את הפורמט הדו-ממדי.","עיצוב גרפי, מדיה דיגיטלית",שנות ה-70 עד היום,"ניו-ווייב (New Wave), פוסט-מודרניזם",Made in Space
,דיטר ראמס (Dieter Rams),"מעצב תעשייתי שפעל בחברת Braun וניסח את ""עשרת העקרונות לעיצוב טוב"". גישתו הפונקציונליסטית והמינימליסטית השפיעה רבות על עיצוב המוצר המודרני.",עיצוב תעשייתי,שנות ה-50 עד ה-90,פונקציונליזם גרמני,Vitsoe (Rams)
,צ'ארלס וריי אימס (Charles & Ray Eames),"צמד מעצבים אמריקאים שפעלו במגוון תחומים, כולל עיצוב רהיטים, אדריכלות וקולנוע. עבודתם מתאפיינת בחדשנות טכנולוגית, ארגונומיה וגישה פתרון-בעיות.",עיצוב רב-תחומי,שנות ה-40 עד ה-70,מודרניזם אמצע המאה (Mid-Century),Eames Office
,קנייה הרה (Kenya Hara),"מעצב גרפי ואוצר, המנהל האמנותי של חברת MUJI. עבודתו מתמקדת במינימליזם, במושג ה""ריק"" (Emptiness) ובעיצוב המפעיל את החושים.","עיצוב גרפי, אוצרות",שנות ה-90 עד היום,מינימליזם יפני,Hara Design Institute
,סוזן קאר (Susan Kare),מעצבת גרפית שיצרה את שפת האייקונים והגופנים המקורית של מחשב המקינטוש. תרמה רבות להתפתחות ממשק המשתמש הגרפי (GUI) ולעיצוב בפיקסלים.,"עיצוב אייקונים, UI",שנות ה-80 עד היום,"פיקסל-ארט, ממשק משתמש",Susan Kare Prints
,אוטל אייכר (Otl Aicher),מעצב גרפי ומייסד בית הספר לעיצוב באולם (Ulm). עיצב את הזהות החזותית של אולימפיאדת מינכן 1972 ופיתח מערכת פיקטוגרמות משפיעה.,"מיתוג, מערכות שילוט",שנות ה-40 עד ה-90,"מודרניזם, סיסטמתיות",Otl Aicher Archive
,פיטר סאביל (Peter Saville),"מעצב גרפי בריטי המזוהה עם חברת התקליטים Factory Records. עבודתו משלבת דימויים מנוכרים, קודים תעשייתיים ואסתטיקה פוסט-מודרנית.","עיצוב עטיפות, ארט דיירקשן",שנות ה-70 עד היום,פוסט-מודרניזם בריטי,Peter Saville (Design Museum)
,אריק שפיקרמן (Erik Spiekermann),"טיפוגרף ומעצב מידע, יוצר גופנים נפוצים כגון FF Meta. מתמחה בעיצוב מערכות הכוונה לתחבורה ציבורית ובעיצוב זהויות מותג מבוססות טיפוגרפיה.","טיפוגרפיה, עיצוב מידע",שנות ה-70 עד היום,טיפוגרפיה פונקציונלית,Spiekermann (Edenspiekermann)
,מייקל ביירוט (Michael Bierut),"מעצב גרפי, שותף בפנטגרם ומבקר עיצוב. עבודתו מאופיינת בגישה מודרניסטית נגישה, והוא ידוע בכתיבתו המנגישה את תחום העיצוב לקהל הרחב.","מיתוג, עיצוב גרפי",שנות ה-80 עד היום,מודרניזם נגיש,Michael Bierut (Pentagram)
,אנדי וורהול (Andy Warhol),אמן מרכזי בתנועת הפופ-ארט האמריקאית. עשה שימוש בטכניקות שכפול תעשייתיות (הדפס משי) ובדימויים מסחריים כדי לטשטש את הגבולות בין אמנות לתרבות צריכה.,"אמנות פלסטית, קולנוע",שנות ה-60 עד ה-80,פופ-ארט (Pop Art),Warhol Foundation
,פיליפ סטארק (Philippe Starck),"מעצב תעשייתי ואדריכל פנים פורה. עבודותיו מתאפיינות בחדשנות צורנית, שימוש בחומרים מגוונים וגישה דמוקרטית המבקשת להביא עיצוב לקהל רחב.","עיצוב תעשייתי, אדריכלות פנים",שנות ה-80 עד היום,פוסט-מודרניזם ביומורפי,Starck Official
,זאהה חדיד (Zaha Hadid),"אדריכלית פורצת דרך שנודעה במבנים בעלי גיאומטריה מורכבת, דינמית וזורמת. עבודתה השפיעה רבות על התכנון הפרמטרי והשימוש בטכנולוגיות בנייה מתקדמות.","אדריכלות, עיצוב מוצר",שנות ה-80 עד 2016,"דקונסטרוקטיביזם, פרמטרי",Zaha Hadid Architects
,בנקסי (Banksy),אמן רחוב אנונימי המשתמש בטכניקת השבלונה (Stencil) ליצירת עבודות סאטיריות. יצירתו עוסקת בביקורת פוליטית וחברתית ומוצגת במרחב הציבורי.,"אמנות רחוב, אקטיביזם",שנות ה-90 עד היום,"אמנות רחוב, סאטירה",Banksy Official
,ברברה קרוגר (Barbara Kruger),"אמנית קונספטואלית המשלבת צילום שחור-לבן עם טקסטים נוקבים, לרוב על רקע אדום. עבודתה עוסקת בביקורת תרבות הצריכה, מגדר וכוח.","אמנות קונספטואלית, קולאז'",שנות ה-70 עד היום,"פוסט-מודרניזם, פמיניזם",Barbara Kruger (MOMA)
,ג'ונתן אייב (Jony Ive),מעצב תעשייתי שהוביל את מחלקת העיצוב של חברת אפל במשך שני עשורים. עיצב מוצרים אייקוניים שהגדירו מחדש את האלקטרוניקה הצרכנית באמצעות מינימליזם ושימוש בחומרים מתקדמים.,עיצוב תעשייתי,שנות ה-90 עד 2019 (באפל),מינימליזם פונקציונלי,Jony Ive (LoveFrom)
,סלבדור דאלי (Salvador Dalí),"צייר סוריאליסטי בולט שיצר דימויים חזותיים בלתי שגרתיים וחלומיים. עבודתו השפיעה על תחומי העיצוב, האופנה והפרסום מעבר לעולם האמנות.","ציור, פיסול, קולנוע",שנות ה-20 עד ה-80,סוריאליזם (Surrealism),Dalí Museum
,לה קורבוזיה (Le Corbusier),"אדריכל ותיאורטיקן רב-השפעה, מחלוצי האדריכלות המודרנית. פיתח עקרונות תכנון אורבני ועיצוב רהיטים המבוססים על פונקציונליזם ותעוש.","אדריכלות, עיצוב רהיטים",שנות ה-20 עד ה-60,"הסגנון הבינלאומי, ברוטליזם",Fondation Le Corbusier
,יאיוי קוסמה (Yayoi Kusama),"אמנית יפנית עכשווית הידועה בשימוש החוזר בדפוסים של נקודות ובמיצבי ""חדרי אינסוף"". יצירתה עוסקת באובססיביות, חזרתיות ותפיסת המרחב.","אמנות מיצב, ציור",שנות ה-50 עד היום,"פופ-ארט, מינימליזם",Yayoi Kusama Museum
,מרסל דושאן (Marcel Duchamp),"אמן קונספטואלי שערער על הגדרות האמנות המסורתיות באמצעות ה""רדי-מייד"" (Readymade). השפיע עמוקות על האמנות והעיצוב במאה ה-20.",אמנות קונספטואלית,שנות ה-10 עד ה-60,דאדא (Dada),Duchamp (Tate)
,פרנק לויד רייט (Frank Lloyd Wright),"אדריכל אמריקאי שפיתח את גישת ""האדריכלות האורגנית"", המשלבת את המבנה עם סביבתו הטבעית. עיצב מבנים אייקוניים לצד רהיטים ועיצוב פנים משלים.","אדריכלות, עיצוב פנים",שנות ה-1890 עד ה-1950,אדריכלות אורגנית,Frank Lloyd Wright Foundation
,ז'אן-מישל בסקיה (Jean-Michel Basquiat),"אמן שפעל בניו יורק ושילב אלמנטים של גרפיטי, טקסט וציור אקספרסיבי. יצירתו עוסקת בנושאים חברתיים ופוליטיים תוך שימוש בשפה חזותית גולמית.","ציור, גרפיטי",שנות ה-70 עד ה-80,נאו-אקספרסיוניזם,Basquiat Estate
,פיט מונדריאן (Piet Mondrian),"צייר הולנדי, ממייסדי תנועת דה-סטיל (De Stijl). פיתח שפה מופשטת המבוססת על קווים ישרים וצבעי יסוד, שהשפיעה רבות על העיצוב הגרפי והאדריכלות.",ציור,שנות ה-10 עד ה-40,דה-סטיל (De Stijl),Mondrian Trust
,רנה מגריט (René Magritte),"צייר סוריאליסטי בלגי שעסק ביחסים שבין דימוי, מילה ומציאות. עבודותיו השנונות מאתגרות את התפיסה החזותית והשפיעו על תחום הפרסום והתקשורת החזותית.",ציור,שנות ה-20 עד ה-60,סוריאליזם,Magritte Museum
,כרים ראשיד (Karim Rashid),"מעצב תעשייתי הידוע בסגנונו הצבעוני והעתידני. עבודותיו מתאפיינות בקווים עגולים ושימוש בחומרים סינתטיים, תוך שאיפה להנגיש עיצוב לקהל הרחב.","עיצוב תעשייתי, פנים",שנות ה-90 עד היום,פופ-פוטוריזם,Karim Rashid
,קית' הרינג (Keith Haring),אמן ופעיל חברתי שפיתח שפה איקונית המבוססת על קווים עבים ודמויות מסוגננות. השתמש במרחב הציבורי להעברת מסרים בנושאי חברה ובריאות.,"אמנות רחוב, פופ-ארט",שנות ה-80,"פופ-ארט, אקטיביזם",Haring Foundation
,אלכסנדר מקווין (Alexander McQueen),מעצב אופנה בריטי שנודע בתצוגות דרמטיות ובעיצובים המשלבים טכניקות מסורתיות עם חדשנות. יצירתו בחנה גבולות אסתטיים ורגשיים.,עיצוב אופנה,שנות ה-90 עד 2010,רומנטיקה גותית,McQueen (V&A)
,רוי ליכטנשטיין (Roy Lichtenstein),אמן פופ-ארט ששאב השראה מעולם הקומיקס והפרסומות. יצירתו מתאפיינת בשימוש בנקודות (Ben-Day dots) ובקווים חזקים לביקורת והתבוננות בתרבות האמריקאית.,אמנות פלסטית,שנות ה-60 עד ה-90,פופ-ארט,Lichtenstein Foundation
,פרידה קאלו (Frida Kahlo),"ציירת מקסיקנית שיצרה דיוקנאות עצמיים עזים וסמליים. עבודתה משלבת מוטיבים מתרבות מקסיקו עם חקירה אישית של זהות, גוף וכאב.",ציור,שנות ה-20 עד ה-50,"סוריאליזם, ריאליזם מאגי",Frida Kahlo Museum
,אנרי קרטייה-ברסון (Henri Cartier-Bresson),"צלם צרפתי הנחשב לאבי צילום העיתונות המודרני. טבע את מושג ""הרגע המכריע"", המדגיש את חשיבות העיתוי והקומפוזיציה בצילום דוקומנטרי.",צילום,שנות ה-30 עד ה-70,"צילום הומניסטי, קנדיד",Magnum Photos
,דן ריזינגר (Dan Reisinger),"מבכירי המעצבים הגרפיים בישראל. עיצב סמלים למוסדות וחברות מרכזיות במשק (כגון אל על והבימה), תוך שימוש בשפה צורנית מינימליסטית וצבעונית.","מיתוג, עיצוב גרפי, כרזות",שנות ה-50 עד ה-2000,"מודרניזם צבעוני, מינימליזם",Reisinger (Israel Museum)
,דוד טרטקובר (David Tartakover),"מעצב ואמן ישראלי המתעד את התרבות והפוליטיקה המקומית. עבודתו מתבססת לרוב על ארכיונים, צילום וקולאז'ים להעברת מסרים ביקורתיים.","עיצוב כרזות, אקטיביזם",שנות ה-70 עד היום,"קולאז' מקומי, פוליטי",Tartakover Design
,עודד עזר (Oded Ezer),"מעצב טיפוגרפי וטיפוגרף ניסיוני. עוסק במחקר ויזואלי של האות העברית, לעיתים תוך שילוב השפעות מביולוגיה ומדע, ויוצר גופנים לשימוש מסחרי ותרבותי.",טיפוגרפיה ניסיונית,שנות ה-2000 עד היום,"ביו-טיפוגרפיה, סוריאליזם",Oded Ezer Typography
,מיכל סהר (Michal Sahar),"מעצבת גרפית וטיפוגרפית מובילה. שותפה ב""הגילדה"", עיצבה גופנים בולטים (כגון ""אלף"" ו""הארץ"") וזהויות מותג למוסדות תרבות מרכזיים.","טיפוגרפיה, מיתוג",שנות ה-2000 עד היום,"טיפוגרפיה עכשווית, נקי",Hagilda (Michal Sahar)
,יוסי למל (Yossi Lemel),מעצב כרזות המתמחה בנושאים חברתיים ופוליטיים. עבודותיו מאופיינות בדימויים ויזואליים חריפים וישירים העוסקים בקונפליקטים ובזכויות אדם.,כרזות חברתיות-פוליטיות,שנות ה-80 עד היום,"קונספטואלי, ברוטאלי",Lemel Official
,פרנצ'סקה ברוך (Franziska Baruch),"מעצבת חלוצה שעיצבה סמלים וגופנים מרכזיים בראשית ימי המדינה, כולל סמל העיר ירושלים ולוגו עיתון ""הארץ"". שילבה בין מסורת קליגרפית לעיצוב מודרני.","טיפוגרפיה, קליגרפיה",שנות ה-20 עד ה-50,"קלאסי, היסטורי",Franziska Baruch Archive
,ג'סיקה וולש (Jessica Walsh),"מעצבת ומנהלת קריאייטיב אמריקאית. עבודותיה מתאפיינות בסגנון ויזואלי מלוטש, צבעוני וסוריאליסטי, עם דגש חזק על מיתוג מסחרי וארט דיירקשן.","מיתוג, ארט דיירקשן",שנות ה-2010 עד היום,"פופ-סוריאליזם, מלוטש",andwalsh.com
,צ'יפ קיד (Chip Kidd),"מעצב גרפי המתמחה בעיצוב עטיפות ספרים. ידוע ביכולתו לזקק את נרטיב הספר לדימוי חזותי יחיד וזכיר, כדוגמת עטיפת ""פארק היורה"".",עיצוב עטיפות ספרים,שנות ה-80 עד היום,"נרטיבי, פופ",Chip Kidd Talks
,ג'ונתן ברנברוק (Jonathan Barnbrook),מעצב וטיפוגרף בריטי. עבודתו משלבת טיפוגרפיה דקונסטרוקטיביסטית עם אמירות פוליטיות. שיתף פעולה באופן הדוק עם דיוויד בואי בעיצוב אלבומיו.,"טיפוגרפיה, עיצוב מוזיקה",שנות ה-90 עד היום,"אקטיביזם, דקונסטרוקציה",Barnbrook Design
,מריאן בנטג'ס (Marian Bantjes),מעצבת ומאיירת המשלבת טיפוגרפיה עם איור מורכב וקישוטי (Ornamental). עבודתה מדגישה את המלאכה הידנית והפרטים הדקים כערך אסתטי.,"טיפוגרפיה, איור",שנות ה-2000 עד היום,"אורנמנטלי, קראפט",Bantjes Studio
,צבי נרקיס (Zvi Narkis),"המעצב והטיפוגרף המשפיע ביותר על האות העברית במחצית השנייה של המאה ה-20. עיצב גופנים קלאסיים (נרקיס בלוק, נרקיסים) המעצבים את המרחב הציבורי בישראל.","טיפוגרפיה, עיצוב בולים ומטבעות",שנות ה-50 עד ה-2000,"טיפוגרפיה פונקציונלית, קלאסיקה ישראלית",Narkis Studio (Masterfont)
,איקו טנאקה (Ikko Tanaka),"מעצב יפני ששילב מוטיבים מהמסורת היפנית עם עקרונות המודרניזם המערבי. עבודתו מתאפיינת בשימוש בצבעים שטוחים, צורות גיאומטריות וקומפוזיציה נועזת.","עיצוב גרפי, כרזות",שנות ה-50 עד ה-2000,"מודרניזם יפני, סינתזה תרבותית",MOMA Collection
,פיטר מקס (Peter Max),אמן ומאייר אמריקאי המזוהה עם התרבות הפסיכדלית של שנות ה-60. עבודותיו עשירות בצבעים רוויים ודימויים קוסמיים המייצגים את רוח התקופה.,"אמנות פלסטית, איור",שנות ה-60 עד ה-90,"פסיכדליה, פופ-ארט",Peter Max Official
,אברם גיימס (Abram Games),"מעצב כרזות בריטי שדגל בעיקרון ""מקסימום משמעות, מינימום אמצעים"". יצר כרזות תמציתיות ואייקוניות עבור הצבא הבריטי ופסטיבל בריטניה.","עיצוב כרזות, עיצוב גרפי",שנות ה-30 עד ה-90,מודרניזם בריטי,Abram Games Archive
,אלן פלטשר (Alan Fletcher),"ממייסדי סטודיו פנטגרם. מעצב גרפי שנודע בשילוב הומור, שנינות ויזואלית וטיפוגרפיה ידנית בעבודותיו. ספרו ""The Art of Looking Sideways"" הוא טקסט יסוד בעיצוב.","עיצוב גרפי, ארט דיירקשן",שנות ה-60 עד ה-2000,"שנינות ויזואלית, אקלקטי",Alan Fletcher Archive
,סילביה האריס (Sylvia Harris),"מעצבת וחוקרת שהתמחתה בעיצוב מידע ציבורי ונגישות. הובילה פרויקטים לאומיים, כולל עיצוב מחדש של טפסי המפקד האמריקאי לטובת בהירות ושימושיות.","עיצוב מידע, אסטרטגיה",שנות ה-80 עד 2011,"עיצוב חברתי, אינפוגרפיקה",Sylvia Harris (AIGA)
,פיטר סאביל (Peter Saville),"מעצב גרפי בריטי המזוהה עם חברת התקליטים Factory Records. עבודתו משלבת דימויים מנוכרים, קודים תעשייתיים ואסתטיקה פוסט-מודרנית.","עיצוב עטיפות, מיתוג",שנות ה-70 עד היום,"פוסט-מודרניזם, היי-טק תעשייתי",Peter Saville (Tate)
,מורג מאיירסקוף (Morag Myerscough),"מעצבת המתמחה בגרפיקה סביבתית ובמיצבים בקנה מידה גדול. עבודותיה מאופיינות בצבעוניות עזה, דפוסים גיאומטריים ושינוי האווירה במרחבים ציבוריים.","גרפיקה סביבתית, מיצב",שנות ה-90 עד היום,"מקסימליזם, צבעוניות מבנית",Studio Myerscough
,לורן הום (Lauren Hom),"מעצבת המתמחה בלטרינג (Lettering) ובציורי קירות. הפכה את הטיפוגרפיה הידנית למותג מצליח, המשלב הומור, צבעוניות ושיווק דיגיטלי.","לטרינג, איור, שיווק",שנות ה-2010 עד היום,"לטרינג מודרני, פופ",Homsweethom
,לינדון לידר (Lindon Leader),"מעצב זהות מותג המתמחה במינימליזם ושימוש בחלל נגטיבי. ידוע בעיצוב הלוגו של FedEx, המשלב חץ נסתר כחלק מהטיפוגרפיה.","מיתוג, עיצוב זהות",שנות ה-70 עד היום,"מודרניזם תאגידי, נקי",Leader Creative