שם הספר (ומקור/תרגום),כותב/ת,שנת הוצאה,נושא (בקצרה),קטגוריות (תגיות)
Designing for Emotion,Aarron Walter,2011,"איך ליצור מוצרים שלא רק עובדים, אלא גם מעוררים רגש חיובי ויוצרים חיבור אנושי עם המשתמש.","UX, רגש, עיצוב אישיות"
About Face: The Essentials of Interaction Design,Alan Cooper,1995,ספר כבד ומקיף מאוד המיועד למקצועני UX שרוצים להעמיק במתודולוגיות של עיצוב אינטראקציה.,"UX מתקדם, מחקר, אינטראקציה"
The Art of Looking Sideways,Alan Fletcher,2001,"לא ספר קריאה רגיל, אלא אוסף ענק של ציטוטים, אנקדוטות ומשחקים ויזואליים. ספר שפותחים כשצריכים ניצוץ של השראה.","השראה, אומנות, ויזואליה"
Steal Like an Artist(לגנוב כמו אמן),Austin Kleon,2012,"מניפסט קצר ומאויר על יצירתיות בעידן הדיגיטלי. קליאון טוען ששום דבר אינו מקורי, ומלמד איך לקחת השראה, לערבב אותה וליצור משהו חדש משלך.","יצירתיות, השראה, קריירה, התפתחות אישית"
Show Your Work!,Austin Kleon,2014,"ספר ההמשך ל""Steal Like an Artist"". מלמד מעצבים איך לשווק את עצמם, איך לשתף תהליכי עבודה ואיך לבנות קהל מבלי להרגיש ""מכירתיים"" מדי.","שיווק עצמי, קריירה, סושיאל"
Steal Like an Artist,Austin Kleon,2012,"מניפסט על יצירתיות. איך לקחת השראה, לערבב אותה וליצור משהו חדש. קליל ומעורר מחשבה.","יצירתיות, השראה"
Logo Design Love,David Airey,2009 (2014),המדריך האולטימטיבי למעצבי זהות מותגית. מכסה את כל התהליך: מתמחור והתנהלות מול לקוחות ועד ליצירת הסמל עצמו.,"מיתוג, לוגו, קריירה, עסקים"
"Work for Money, Design for Love",David Airey,2012,"מדריך הישרדות למעצב עצמאי. תשובות לשאלות כמו ""איך למצוא לקוחות?"" ו""מה עושים כשלקוח לא משלם?"".","קריירה, פרילאנס, עסקים"
The Design of Everyday Things(עיצוב של דברים יומיומיים),Don Norman,1988 (עודכן ב-2013),"התנ""ך של חוויית המשתמש. מסביר בפשטות מדוע מוצרים נכשלים או מצליחים דרך פסיכולוגיה קוגניטיבית. ספר חובה לכל מי שמעצב עבור בני אדם.","UX, פסיכולוגיה, עיצוב מוצר, קלאסיקה"
The Design of Everyday Things,Don Norman,1988,הבסיס לחשיבה על חוויית משתמש. למה דלתות מסוימות מבלבלות אותנו? נורמן מסביר את הפסיכולוגיה שמאחורי עיצוב לקוי ועיצוב טוב.,"UX, עיצוב מוצר, פסיכולוגיה"
Thinking with Type,Ellen Lupton,2004,המדריך הנגיש ביותר לטיפוגרפיה. משלב חוקים מסורתיים עם דוגמאות עכשוויות וניסיוניות.,"טיפוגרפיה, יסודות העיצוב"
The Shape of Design,Frank Chimero,2012,"ספר פילוסופי יותר שעוסק ב""למה"" אנחנו מעצבים ולא ב""איך"". עוסק בסיפור סיפורים (Storytelling), באמפתיה ובמשמעות של עבודת המעצב בעולם.","פילוסופיה, מסה, Storytelling"
Principles of Logo Design,George Bokhua,2022,המדריך הפרקטי ליצירת לוגואים על בסיס גרידים ויחס הזהב. בוקה מלמד איך ליצור צורות על-זמניות ומינימליסטיות בדיוק מתמטי.,"לוגו, גריד, וקטור, טכניקה"
Grid Systems in Graphic Design,J. Müller-Brockmann,1981,"הבסיס לסגנון השוויצרי. מלמד סדר, היררכיה וארגון המרחב בצורה מתמטית. חובה להבנת לייאוטים מורכבים.","גריד, טיפוגרפיה, סגנון שוויצרי"
Sprint,Jake Knapp,2016,שיטת העבודה של גוגל ונצ'רס: איך לפתור בעיות גדולות ולבדוק רעיונות חדשים בחמישה ימים בלבד.,"תהליך עבודה, פרודקט, סטארטאפ"
Logo Modernism,Jens Müller,2015,ארכיון ויזואלי ענק של לוגואים משנות ה-40 עד ה-80. השראה טהורה למינימליזם.,"השראה, היסטוריה, לוגו"
Logo Modernism,Jens Müller / R. Remington,2015,ספר ענק (פיזית) מבית הוצאת Taschen. זהו ארכיון ויזואלי מרהיב של לוגואים מודרניסטיים משנות ה-40 עד ה-80. השראה ויזואלית טהורה למינימליזם וצורה.,"השראה, לוגו, היסטוריה, מינימליזם"
Laws of UX,Jon Yablonski,2020,ספר שמנגיש עקרונות פסיכולוגיים מורכבים (כמו אפקט זיגרניק) ומסביר איך הם משפיעים על עיצוב ממשקים דיגיטליים. פרקטי וממוקד.,"UX, פסיכולוגיה, ווב, פרודקט"
Interaction of Color,Josef Albers,1963,מופת של הוראת צבע. תרגילים שמראים איך צבע הוא יחסי ומשתנה בהתאם לסביבתו.,"צבע, אומנות, תפיסה חזותית"
Grid Systems in Graphic Design,Josef Müller-Brockmann,1981,"המדריך המוחלט לשימוש בגריד (רשת). ספר זה הוא הבסיס לסגנון השוויצרי הבינלאומי ומלמד סדר, היררכיה וארגון המרחב בצורה מתמטית ואסתטית.","גריד, לייאוט, טיפוגרפיה, עיצוב שוויצרי"
Palette Perfect,Lauren Wager,2018,"ספר השראה לצבעים, המבוסס על הבלוג המצליח Color Collective. שילובים מרהיבים המחולקים לפי מצבי רוח.","צבע, השראה, סטיילינג"
Universal Principles of Design,Lidwell / Holden,2003,"אנציקלופדיה של 125 עקרונות עיצוב ופסיכולוגיה (כמו ""חוק היק"", ""יחס הזהב"", ""affordance""). ספר רפרנס מצוין לשמירה על השולחן.","תיאוריה, UX, פסיכולוגיה, רפרנס"
"How to

(Use Graphic Design to Sell Things...)",Michael Bierut,2015,"ספר חובה. ביירוט, שותף בפנטגרם, מציג 35 פרויקטים ומפרק את התהליך היצירתי בצורה כנה, כולל סקיצות שנזרקו לפח וכישלונות. בית ספר לפרקטיקה.","תהליך עיצוב, מיתוג, השראה, מניפסט"
Branding: In Five and a Half Steps,Michael Johnson,2016,תהליך המיתוג מהאסטרטגיה ועד לביצוע. מחבר בצורה נהדרת בין קופירייטינג לעיצוב ויזואלי.,"מיתוג, אסטרטגיה"
Hooked: How to Build Habit-Forming Products,Nir Eyal,2014,חובה למעצבי מוצר/אפליקציות. מסביר את המודל הפסיכולוגי שגורם לנו להתמכר למוצרים דיגיטליים.,"פרודקט, פסיכולוגיה, שיווק"
Thoughts on Design,Paul Rand,1947,"ספרו של אבי המיתוג המודרני. למרות שנכתב מזמן, התובנות שלו על הקשר בין צורה לתוכן ועל הפשטות בעיצוב רלוונטיות מתמיד.","פילוסופיה, קלאסיקה, מסה"
The Elements of Typographic Style,Robert Bringhurst,1992,"נחשב ל""תנ""ך של הטיפוגרפים"". ספר פואטי וטכני כאחד שמסביר את האומנות העדינה של סידור אותיות. חובה לכל מי שמתעסק בטקסט.","טיפוגרפיה, קלאסיקה, פרינט"
Just My Type,Simon Garfield,2010,"ספר פרוזה מרתק ומצחיק על ההיסטוריה של הפונטים, איך הם משפיעים עלינו וסיפורים מאחורי גופנים מפורסמים.","טיפוגרפיה, היסטוריה, תרבות"
Don't Make Me Think,Steve Krug,2000,ספר הבסיס לשמישות (Usability) באינטרנט. חוקים פשוטים ליצירת ממשקים אינטואיטיביים.,"UI/UX, ווב, שמישות"
Creative Confidence,Tom & David Kelley,2013,"נכתב ע""י מייסדי IDEO. ספר על ""חשיבה עיצובית"" (Design Thinking) ואיך לשחרר את היצירתיות בכל תהליך עבודה, גם לא ויזואלי.","Design Thinking, חדשנות, ניהול"
עיצוב גרפי בישראל,יורם רוזוב,שנות ה-90,"תיעוד חשוב של ההיסטוריה המקומית, כרזות וסמלים שהם חלק מהתרבות הישראלית.","מקומי, היסטוריה, ישראלי"
"Generative Design

(Visualize, Program, and Create)",B. Gross / H. Bohnacker,2009 (2018),הספר המקיף ביותר לקוד יצירתי (p5.js/Processing). מראה איך להפוך קוד לאמנות ויזואלית מורכבת. חובה לכל מי שמתעסק בג'נרטיב ארט.,"Creative Coding, Processing, דיגיטל, אמנות"
Designing Brand Identity,Alina Wheeler,2003 (מהדורה 6),"המדריך המקצועי המקיף ביותר לניהול מותגים. כולל צ'ק-ליסטים, מתודולוגיות ודוגמאות לכל שלב בבניית זהות מותגית.","מיתוג, ניהול עיצוב, אסטרטגיה, רפרנס"
Draplin Design Co.: Pretty Much Everything,Aaron Draplin,2016,"ספר עבה, צבעוני וכיפי של המעצב האמריקאי המפורסם. מלא בדוגמאות של לוגואים, סקיצות, סיפורים אישיים ועצות פרקטיות ""מהשטח"".","השראה, לוגו, תהליך אישי, פרילאנס"
Stop Stealing Sheep & Find Out How Type Works,Erik Spiekermann,1993,ספר קליל והומוריסטי שמסביר למה בחירת פונט היא קריטית (כמו בחירת טון דיבור). קלאסיקה נגישה מאוד.,"טיפוגרפיה, תקשורת חזותית, למתחילים"
A Smile in the Mind,Beryl McAlhone,1996 (2016),ספר שמתמקד בשנינות (Wit) בעיצוב גרפי. מציג אלפי דוגמאות לשימוש חכם בכפל משמעות ויזואלי ובמינימליזם כדי להעביר מסר חד.,"חשיבה יצירתית, הומור, רעיונאות, השראה"
In Progress,Jessica Hische,2015,הצצה נדירה לתהליך העבודה של אחת ממעצבות ה-Lettering המובילות בעולם. מראה את המעבר מסקיצה בעיפרון לוקטור סופי בתוכנה.,"Lettering, איור, תהליך, וקטור"
Sagmeister: Made You Look,Stefan Sagmeister,2001,ספר בפורמט מיוחד (בתוך נרתיק פלסטיק אדום) שמציג את העבודות הפרובוקטיביות והנועזות של סגמייסטר. השראה לאומץ עיצובי.,"פורטפוליו, עיצוב אקספרימנטלי, השראה"
Ways of Seeing,John Berger,1972,"ספר תאוריה קצר אך משנה תודעה. מבוסס על סדרת ה-BBC, ומלמד איך להסתכל על דימויים חזותיים בהקשר תרבותי ופוליטי.","תאוריה, ביקורת התרבות, אמנות"
The Visual Display of Quantitative Information,Edward Tufte,1983,"הספר החשוב ביותר בתחום ה-Data Visualization. מלמד איך להציג מידע מורכב בצורה נקייה, ברורה ואמינה, בלי ""לקשט"" סתם.","אינפוגרפיקה, נתונים, עיצוב מידע"
Paula Scher: Works,Paula Scher,2017,מונוגרפיה ענקית של המעצבת הראשית בפנטגרם. מציגה עשרות שנים של מיתוג מוסדות תרבות (כמו התיאטרון הציבורי בניו יורק) וטיפוגרפיה אקספרסיבית.,"טיפוגרפיה, מיתוג סביבתי, השראה"
Know Your Onions: Graphic Design,Drew de Soto,2012,"מדריך טכני ופרקטי מאוד למעצבים ג'וניורים. מלמד את הדברים שלא מלמדים בבית ספר: דפוס, סגירת קבצים, קיצורי מקלדת ועבודה בסטודיו.","פרקטיקה, דפוס, קריירה, טכני"
"Wabi-Sabi: for Artists, Designers, Poets...",Leonard Koren,1994,"ספר קטן על האסתטיקה היפנית של חוסר השלמות, הארעיות והצניעות. השראה נהדרת לעיצוב נקי, טבעי ולא מתאמץ.","פילוסופיה, אסתטיקה, עיצוב יפני"
"It's Not How Good You Are, It's How Good You Want To Be",Paul Arden,2003,ספר כיס שנחשב לקלאסיקה בעולם הפרסום. משפטי מחץ קצרים ועיצוב נועז שנותנים מוטיבציה לחשוב בגדול.,"מוטיבציה, פרסום, ניהול קריירה"
Graphic Design: The New Basics,Ellen Lupton / J. Phillips,2008,"ספר שסוגר את הפער בין עיצוב פורמלי (נקודה, קו, כתם) לבין עיצוב עכשווי (שכבות, שקיפויות, זמן ותנועה).","יסודות העיצוב, קומפוזיציה, לימודים"
House Industries: The Process is the Inspiration,House Industries,2017,"סיפורו של בית הפונטים המפורסם. ספר עמוס בטקסטורות, צילומים וסקיצות שמראה איך אובססיה לפרטים יוצרת עיצוב מעולה.","טיפוגרפיה, וינטג', תהליך, קראפט"
Feck Perfuction,James Victore,2019,"ספר בוטה וישיר שקורא למעצבים להפסיק לנסות להיות ""מושלמים"" ולהתחיל להיות מעניינים, רועשים ואותנטיים.","יצירתיות, אומץ, התפתחות אישית"
Meggs' History of Graphic Design,Philip B. Meggs,1983 (עודכן),האנציקלופדיה ההיסטורית. ספר כבד מאוד שסוקר את כל תולדות העיצוב הגרפי מהמצאת הכתב ועד ימינו. מצוין כרפרנס היסטורי.,"היסטוריה, אקדמיה, רפרנס"
Why Fonts Matter,Sarah Hyndman,2016,ספר שעוסק בפסיכולוגיה של הטיפוגרפיה בצורה חווייתית – איך פונטים משפיעים על הטעם של האוכל או על מצב הרוח שלנו.,"פסיכולוגיה, טיפוגרפיה, מדע"
Visual Grammar,Christian Leborg,2006,"מילון ויזואלי מופשט. מגדיר מושגים כמו ""מתח"", ""מקצב"", ""כיוון"" ו""משקל"" דרך דיאגרמות פשוטות. מצוין להבנת קומפוזיציה.","תאוריה, שפה חזותית, אבסטרקט"
Caps Lock,Ruben Pater,2021,"ספר ביקורתי וחשוב למעצב המודרני. בוחן את הקשר בין עיצוב גרפי לקפיטליזם, פוליטיקה ואתיקה.","אתיקה, חברה, ביקורת, עיצוב עכשווי"